titulo,direccion,precio,descripcion,construido,terreno,fecha,ide
Oportunidad Colonia Atlas,rio zapotlanejo,"MN 2,490,000","Increible propiedad con una excelente ubicacion, a unos metros de plaza Forum Tlaquepaque, a 20 min. del aeropuerto y 15 min, del centro de guadalajara. De dos plantas, cuenta con: 3 recamaras, la principal tiene vestidor y tina de hidromasaje para 2 personas, sala de estar, amplia sala y comedor, estudio, cochera para 2 autos, porton electrico, terraza muy amplia, area de lavado, cisterna y tinaco. Libre de gravamen,.",247m²,144m²,Publicado hace 13 días,
"Casa en Venta en Guadalajara, Av de Los Arcos",Avenida De Los Arcos,"MN 6,500,000","Casa en Jardines del Bosque, sobre avenida De los Arcos. Excelente opción con uso de suelo mixto, ideal para oficinas, consultorios,etc. Con inmejorable ubicación a cuadra y media de Av. Lázaro Cárdenas en el cruce con los Arcos del Milenio. Cuenta con cochera techada para 3 autos y portón eléctrico. En la planta baja: recibidor, estudio, medio baño, amplia sala y comedor. Cocina amplia Patio en la parte trasera, que le da una excelente iluminación a los espacios interiores. En la segunda planta: 4 habitaciones, la principal con baño completo y fuera de las recamaras, baño completo. En el tercer nivel: cuarto de lavado y cuarto de servicio. En este nivel se encuentra la instalación de calentador solar y paneles solares, que actualmente reduce el pago a C.F.E. a cero pesos. Gran oportunidad ya que el uso de suelo es mixto.",350m²,219m²,Publicado hoy,
Se Vende Casa Zona Talpita,san aristeo,"MN 1,650,000","CASA A 4 MINUTOS ES DECIR A 1 KM DEL CENTRO COMERCIAL GRAN TERRAZA OBLATOS. CUENTA CON UN TERRENO DE 95M2 APROXIMADAMENTE, CASA DE DOS NIVELES. EN PLANTA BAJA CUENTA: CON COCHERA, RECIBIDOR, UN BAÑO COMPLETO , ESTUDIO O OPCION A TERCER RECAMARA, COCINA INTEGRAL MODERNA MUY AMPLIA CON COMEDOR, TERRAZA AMPLIA, EN PLANTA ALTA; CUENTA CON DOS RECAMARAS, LA PRINCIPAL CON WALKIN CLOSET Y BAÑO COMPLETO Y LA SECUNDARIA CON AMPLIO CLOSET, AREA DE LAVADO Y AMPLIO PATIO. CITAS AL 33Ver datos",125m²,95m²,Publicado desde ayer,56409582
Casa en Venta de Una Planta Colonia Providencia,Calle Labrador,"MN 5,800,000","Excelente ubicación! Casa en venta de una planta. Cuenta con cochera para 2 autos, sala con chimenea, comedor, amplia cocina integral con despensa y área para antecomedor; medio baño para visitas, 3 recámaras, un baño completo, pequeño patio con fuente y jardín trasero. Cuarto de servicio con baño y área de lavado en la azotea.",220m²,240m²,Publicado hace 5 días,
"Casa en Venta Ideal Para Habitar, Oficinas o Notaria, Providencia",Pompeya 2603,"MN 7,850,000","Magnífica Casa en una de las Zonas más cotizadas de la Ciudad. Consta de 2 plantas: PB: cochera para 3 autos, recibidor, sala, comedor, cocina integral, antecomedor, family room, jardín, medio baño PA: 3 habitaciones, la principal con baño y vestidor, las dos secundarias con closet y comparten baño completo, área de trabajo. Cuarto de Servicio con baño completo, área de lavado, azotea que puede servir como roof garden. Ideal para casa-habitación, oficinas, notarías, etc. Se encuentra en excelentes condiciones, ven y conócela¡",380m²,305m²,Publicado hace 17 días,
Casa Para Remodelar en Providencia,bogota,"MN 12,000,000","Ref: NEX-4314El la colonia mas aspiracional y de mayor valor comercial en Guadalajara, Colonia Providencia, tenemos esta propiedad con amplios espacios y un patio trasero con alberca.Cuenta con puerta de acceso de seguridad y está ubicada a una cuadra de Pablo Neruda, la calle principal de Providencia.Aprovecha la oportunidad de vivir en la mejor ubicación de Guadalajara, con los mejores servicios, agua que llega de los Colomos, que es un pulmón de oxígeno para la ciudad y lo tenemos a unos minutos.En esta ubicación tienes todo a la mano, no tienes que salir de la colonia para prácticamente nada. Tienes escuelas hospitales, torres de oficinas, todo tipo de restaurantes, delicatessens, etc.Para recibir mas información de esta y/u otras propiedades en la zona, ponte en contacto con nosotros.",381m²,339m²,Publicado hace 31 días,
"Casa en Venta en Arcos Vallarta, Guadalajara",,"MN 4,650,000","Casa en Venta en Arcos Vallarta, GuadalajaraCasa recién remodelada, lista para usarse, en excelentes condiciones. Cuenta con sala, comedor, cocina integral, cochera para dos carros, cinco recámaras y dos baños.Se encuentra en una excelente ubicación, a dos cuadras de Avenida Inglaterra, cruza con Avenida Inglaterra y Calle San Gabriel. Muy cerca del Colegio Veracruz y el Riu.¡Conózcala!Tramitamos su crédito sin costo alguno.",240m²,155m²,Publicado hace 19 días,
"Casa en Huentitan, a Una Cuadra de Sams de La Calzada y Periferico",,"MN 1,350,000","Se vende casa en huentitan a espaldas de la agencia Ford Country, Dentro de coto, a una cuadra del sams que se encuentra en la calzada y periferico $1,350,000 3 recamaras Acondicionada para una recamara en planta baja 2 baños completos Sala Comedor Cocina Patio de servicio Cochera para 2 autos Aceptamos créditos",130m²,102m²,Publicado hace 27 días,
"Excelente Casa Frente a Parque, Jardines de San Jose",Calle Isla Salomon # 2454,"MN 2,250,000","Excelente Ubicación Casa ideal para negocio, Frente a Parque, a una cuadra y media de Ave Isla Raza, Zona Segura, 4 recamaras, patio trasero amplio Apártala !!",213m²,122m²,Publicado hace 119 días,
Casa en Venta en Circ. Vallarta,IGNACIO HERRERA Y CAIRO No. 2625,"MN 14,850,000","Amplia residencia con excelente iluminación, ubicación y buen proyecto arquitectónico. CARACTERÍSTICAS: Planta Baja: Cochera 4 autos, portón eléctrico, recibidor, 1/2 baño, estudio c/baño completo, sala, comedor, cocina integral con desayunador, 4 recámaras (la principal con vestidor y baño completo, 3 secundarias con closet), 1 baño completo, sala de TV, 2 bodegas, terraza techada, jardín amplio con fuente, Planta Alta: Estudio independiente con baño, área de lavado techada, área de servicio, cuarto de servicio con baño.",508m²,663m²,Publicado hace 143 días,54087296
