titulo,direccion,precio,descripcion,construido,terreno,fecha,ide
Casa en Remate Bancario Priv de Violeta 817 Col San Carlos Guadalajara Jal.,Priv Violeta,"MN 1,253,040","CASA en remate bancario en calle PRIV DE VIOLETA 817 COL. SAN CARLOS GUADALAJARA JALISCO su precio es de $ 1,253,040.81 con un primer pago a la firma de contrato de $ 340,000.00 y el segundo pago a los tres meses cuando se firme la cesión de derechos ante Notario Público y un representante del banco INVERSION GARANTIZADA EN CONTRATO infomes Lic. Mario Espinoza A tel Ver datos",90m²,120m²,Publicado hace 28 días,
Venta de Casa en Av Union Col Obrera Ideal Para Desarrollos Verticales,Av Union,"MN 20,000,000","Venta de casa/terreno ideal para desarrollos verticales con excelente ubicación en Av. Unión esquina con Montenegro dentro de la colonia Obrera. Terreno 603 m2 Frente 22.28 x 27.35 COS 0.7 y CUS 6.4 Se pueden construir 3,570 m2",400m²,603m²,Publicado hace 101 días,
Casa en Remate Bancario Fracc Jardines Alcalde Guadalajara Jalisco No Crèditos,Bruno Moreno,"MN 2,022,451","OPORTUNIDAD casa en remate bancario en calle BRUNO MORENO FRACC JARDINES ALCALDE GUADALAJARA JALISCO su precio es de $ 2,022,451.52 con un pago inicial a la firma de contrato de $ 460,000.00y el segundo pago tres meses después ante Notario Público y un representante del banco INVERSION GARANTIZADA EN CONTRATO Informes Lic. Mario Espinoza A tel Ver datos",180m²,220m²,Publicado hace 28 días,56013680
"Casa de 3 Pisos en La Col. Reforma, Guadalajara.",,"MN 2,390,000","Casa en la Colonia Reforma, Guadalajara Jalisco.Cuenta con:304.40 m2 de construcción152.20 m2 de terreno10 m de frente x 15 m de fondo.3 plantas.Ubicado en una esquina.2 chimeneas.1 cuarto grande.3 baños completos.Permiso para cerveza abierta.Permiso para mesas de billar.Amplios espacios ideales para: negocio, restaurante, bar familiar, etc. Cercanías:Mercado del mar.Baratillo.Estación de tren Oblatos.Preparatoria °3Iglesias, comercios, hospitales y secundarias.SE ACEPTAN OFRECIMIENTOSInformes y citas:33 Ver datosVer datos ",304m²,152m²,Publicado hace 32 días,
Casa en Venta en Providencia 2da Secc,,"MN 6,990,000","Nocnok ID: MX18-FG4314. EXCELENTE CASA HABITACIÓN CON AGRADABLES ESPACIOS EN LA COLONIA PROVIDENCIA .3 RECAMARAS LA PRINCIPAL CON CLOSET VESTIDOR,ESTAR DE T.V CON ESPACIOS AMPLIOS E ILUMINADOS.RECIBIDOR,SALA COMEDOR EN DESNIVEL ,ESTUDIO ,MEDIO BAÑO,JARDIN ,CUARTO DE SERVICIO COMPLETO .CASA CON AMPLIOS ESPACIOS Y CARPINTERÍA DE CAOBA.LA PROPIEDAD SE ENCUENTRA EN PERFECTAS CONDICIONES DE MANTENIMIENTO LISTA PARA HABITARSE.A TUS ORDENES, PREVIA CITA.INFORMES Y CITAS :Gdl Habitat movil 3Ver datos / Ver datos 44-habitat.com soluciones inmobiliarias. Estátus jurídico: Libre de gravamen.ADVERTENCIA: Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema.",343m²,260m²,Publicado hace 10 días,
Casa en Venta en San Miguel de Huentitan,Javier Gonzalez #1677,"MN 3,000,000",Nocnok ID: MX18-EN1524. Se vende hermosa casa con amplios espacios.3 habitaciones con opción a una 4ta. 1 hermoso jardín y patio trasero con opción a hacerseAmplio balcónSalón de fiestas con dos lugares de estacionamiento. En muy buena ubicación de Guadalajara.Agenda tu cita Lunes a Viernes de 8:00am a 5:00pm y Sábados de 8:00am a 3:00pmTel. Of. Ver datos WhatsApp. Ver datos-97 o Ver datos-90Quedamos a sus ordenes. MROY InmobiliariaADVERTENCIA: Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema.,580m²,400m²,Publicado hace 109 días,
Oportunidad de Adquisición de Remate Bancario en Huentitán El Bajo,"lomas del paraíso, guadalajara","MN 910,062","EXCELENTE OPORTUNIDAD DE ADQUIRIR UN INMUEBLE PARA HABITACIÓN O COMO INVERSIÓN, SE TRATA DE RECUPERACIÓN BANCARIA EN CALLE VOLCAN SAN FRANCISCO, ÁREAS VERDES, 3 RECAMARAS, 2 BAÑOS, 1 ESTACIONAMIENTO, GRAN UBICACIÓN, CENTROS COMERCIALES Y COLEGIOS MUY CERCA. EXCELENTE INVERSIÓN DE UNICAMENTE $ 910,062.46 QUE SE PAGA EN DOS EXHIBICIONES. EL PRIMER PAGO SE HACE EL DIA DE LA FIRMA DE CONTRATO, EL SEGUNDO PAGO ES AL FIRMAR LA CESIÓN DE DEREACHOS ANTE EL NOTARIO PÚBLICO. NO SE ACEPTAN CRÉDITOS. INFORMES: LIC. LUCY AGUILERA. 0Ver datos ADMINISTRACIÓN PATRIMONIAL ESPECIALIZADA S.C. PASEO DE LA REFORMA 383 PISO 7, COL. CUAUHTÉMOC C.P. Ver datos",2,150m²,Publicado hace 40 días,
Casa en Huentitan El Bajo Mx19 - Gb6734,"VOLCAN SAN FRANCISCO No. Ext Huentitan El Bajo Guadalajara, Jalisco, México","MN 910,062","DESCRIPCIÓN APE INMOBILIARIA empresa en Remate Bancarios 100% Confiable. Pone a la Venta Casa en VOLCAN SAN FRANCISCO 106 HUENTITAN EL BAJO GUADALAJARA JAL CARACTERÍSTICAS: *2 recamaras *1 baños *sala, comedor, cocina, área de lavado *60m2 t *70m2 c *1 estacionamiento Su PRECIO es de $910,062.46 su PAGO es al Contado en dos exhibiciones la 1ra de $280,000.00 y la 2da de $630,062.46 INFORMES Ver datos Ver datos @gmail.com CLAVE:6734 i 2 L-foraneo Condición construcción: Buena",60m²,70m²,Publicado hace 62 días,
"Casa en Venta por Av Para Oficinas o Terreno, Jardines del Bosque",AV. DE LOS ARCOS,"MN 9,980,000","CASA EN VENTA POR AV. DE LOS ARCOS EN JARDINES DEL BOSQUE , USO DE SUELO MIXTO (OPCION COMO TERRENO O OFICINAS) 463 M2 DEL TERRENO 593 M2 DE CONSTRUCCIÓN PLANTA BAJA: COCHERA PARA 4 AUTOS, RECAMARA EN PLANTA BAJA CON SU BAÑO COMPLETO, COCINA, SALA, COMEDOR, CHIMINEA, TERRAZA, CUARTO DE HERRAMIENTAS. PLANTA ALTA: 3 RECAMARAS TERCER NIVEL: CUARTO DE SERVICIO Y LAVADO.",593m²,463m²,Publicado hace 5 días,
Fraccionamiento Monraz,olmecas,"MN 11,500,000","MAGNIFICO PROYECTO, RESIDENCIA ESPACIOSA, 2 NIVELES, AL INGRESO FUENTE DE CANTERA, RECIBIDOR, 1/2 BAÑO DE VISITAS, SALA C/CHIMENEA-TIRO, COMEDOR, 3 RECAMARAS, LA PRINCIPAL C/BAÑO-VESTIDOR-JACUZZI-CLOSET DE PARED A PARED, ESTUDIO EN P.B., COCINA INTGRAL C/DESPENSA, TERRAZA TECHADA, JARDIN, CUARTO SERVICIO C/BAÑO, AREA LAVADO CON 1/2 BAÑO SE UBICA SALIENDODE LA COCINA Y TIENE INGRESO INDEPENDIENTE, PORTON ELECTRICO.",495m²,585m²,Publicado hace 32 días,55650275
Casa en Venta •chapalita• 400 m² ·,CHAPALITA,"MN 8,990,000","Ofrezco casa en Venta CHAPALITA Jardines de San Ignacio Una de las mejores colonias de Guadalajara, super ubicada. Una PLANTA • Sala y comedor • 4 recamaras la principal con baño y vestidor • 1 1/2 baño completo • Terraza con jardín • Cuarto de servio con baño en planta alta • 3 estacionamientosara También puede ser para oficinas a puerta cerrada Se encuentra a media cuadra de la glorieta Chapalita y de los mejores restaurantes de Guadalajara, hospitales, colegios, plazas comerciales. Gabriela Thomsen Ver datos",347m²,400m²,Publicado hace 25 días,
Oportunidad Casa Una Planta en Colon Industrial,,"MN 2,400,000","CASA DE UNA PLANTA, MUY BIEN UBICADA, TODOS LOS SERVICIO CERCA, 3 RECAMARAS, 2 BAÑOS, SALA, COMEDOR, COCINA INDEPENDIENTE CON SALIDA A PATIO DE LAVADO EN A PARTE FRONTAL Y PATIO GRANDE EN LA PARTE DE ATRAS , CONFORTABLE , CON VIAS DE ACCESO MUY BUENAS, CERCANA A PLAZA COMERCIAL , BANCOS, RESTAURANT, CLINICAS DE SALUD, ETC.",140m²,135m²,Publicado hace 12 días,
Casa de Remate Bancario,EGIPTO,"MN 600,000","CASA EN VENTA DE REMATE BANCARIO SE VENDE EN $600,000 Y SU VALOR COMERCIAL ES DE $1,200,000 (50% DE DESCUENTO), SE CUENTA CON ESCRITURAS SIN GRAVAMEN Y PAGOS DE PREDIAL AL CORRIENTE. NO SE CUENTA CON LA POSESION SOLO FALTA TRAMITAR EL DESALOJO DE LAS PERSONAS QUE INVADIERON LA PROPIEDAD. TIENE USO DE SUELO MIXTO Y ESTA EN ESQUINA CON UNA SUPERFICIE DE TERRENO DE 140 M2 Y UNA CONSTRUCCION DE 222M2 EN LA COLONIA HELIODORO HERNANDEZ LOZA INFO AL CEL Ver datos",222m²,140m²,Publicado hace 90 días,
Venta Casa por Santa Tere,Alfredo R Plascencia,"MN 2,650,000","Propiedad en santa Tere, ideal para laboratorio, consultorios, se pueden subdividir espacios, planta baja recibidor, una cocineta, baño completo 2 estancias de buen tamaño, segundo nivel un baño completo 3 espacios cuartos, y en el tercer piso terraza con una estancia bastante amplia",260m²,96m²,Publicado hace 21 días,
"Espacio Chapalita 301, Modelo Oslo. Pregunta por Nuestras Promociones Especiales.",AV. IGNACIO VALLARTA 4701 ESQUINA AV. INGLATERRA,"MN 5,141,575","Porque queremos que te sientas cómodo y satisfecho en todo momento, contamos con 2 modelos habitacionales, los cuales más que verlos como casas o departamentos, los consideramos espacios que puedas habitar y crear a tu gusto, para que sigas llevando la vida que te gusta y mereces. AMENIDADES -PATIOS VERDES entre las viviendas con andadores y jardineras, sin acceso a vehículos. -TERRAZAS SEMI-ABIERTAS, en dos niveles; con baños, cocinetas y área de convivencia. - EXCLUSIVA TERRAZA techada que hará de tus reuniones todo una experiencia. ACABADOS -VENTILACIÓN Ventilación natural en el área social. -PISOS Material cerámico en áreas sociales y baños. -BAÑOS Canceles de cristales templado. Accesorios de baños de primera calidad. -COCINA Diseño bicolor. Cubierta natural de granito. Sistema de cierre SlowMotion. -AIRE ACONDICIONADO Recámara principal. Área social. Preparación en las otras recámaras. -DETALLE Amplias terrazas y balcones. Barandales. Vistas Privilegiadas. Amplios ventanales",223m²,223m²,Publicado hace 40 días,
"Excelente Casa en Hermosa Provincia, Guadalajara, Jalisco",,"MN 1,300,000","Amplia casa de 2 niveles. En planta baja cuenta con dos recámaras, un baño completo, cocina sin estufa, comedor y lavadero. La segunda planta cuenta con dos recámaras y un amplio patio central. La casa tiene un aljibe de 10,000 litros de capacidad, calentador solar y bóiler de paso. Excelente ubicación con todos los servicios a poca distancia.",182m²,119m²,Publicado hace 102 días,
Casa Habitación en Providencia,CALLE MONZA No.,"MN 7,100,000","CASA HABITACIÓN 3 RECAMARAS, 3 BAÑOS COMPLETOS 1 CON VESTIDOR, BAÑO DE VISITAS, SALA DE TV, COCINA INTEGRAL CON CUBIERTA DE GRANITO, LOZAS DE MÁRMOL, CUARTO DE SERVICIO, ÁREA DE LAVADO, COCHERA PARA TRES AUTOS. REMODELADA. ELEVADOR. 228 m2 DE TERRENO, 437 m2 DE CONSTRUCCION, TIPO DE TERMINADOS SUPERIOR MEDIO, MUY BUEN ESTADO DE CONSERVACIÓN.",3,437m²,Publicado hace 19 días,
"Casa en Venta, Colonia Independencia, Guadalajara, Jalisco",,"MN 2,500,000","Excelente oportunidad, para remodelar, en esquina de una sola planta.A una cuadra del estadio jalisco.3 recámaras, closet de blancos, dos cocheras con cancel de malla, área de lavado cubierto, patio cubierto, cisterna y tinaco 300 litros, protecciones en ventanas, tanque estacionario de 300 litros.Ventaneria: herrería con proteccionesCarpintería: pinoPisos: terrazo y vitropiso 30 x 30 cm",143m²,204m²,Publicado hace 82 días,
Propiedad en Venta Col. Jardines Alcalde,Av. Cientificos 868,"MN 6,000,000","Propiedad en venta con excelente ubicación, a solo pocas cuadras de Av. Alcalde Todos los servicios a la mano, escuelas, unidades deportivas, iglesias, bancos y mucho mas. Ubicación: Científicos 868, Jardines Alcalde, Guadalajara Medidas: 19.45 mts de frente por 28.8 mts de fondo. Características: * 1 sola planta * 3 cajones de estacionamiento * Jardin frontal, lateral y trasero * 3 habitaciones con closet cada una * 2 baños completos * Cocina integral * Sala * Comedor * Patio de servicio Previa cita: Ver datos, Zanya Esparza Ver datos, Everardo Sanchez",609m²,550m²,Publicado hace 47 días,
Casa en Venta en Ladron de Guevara,JESUS GARCIA #1768,"MN 2,850,000","Nocnok ID: MX19-GI4052. $Ver datos1 planta 2 recamarasOficina independiente2 baños completos1 cocheraSala de TVSala-comedorCocina IntegralPatio de servicio6.20 x 20 124 m2 de terreno105 de construcciónDrenaje nuevo, piso, soclo, cancel en cochera, barra desayunadora, tinaco, bomba de agua, bardas con 3 metros de altura.Libre de gravamen, aceptamos tu crédito.Escuchamos ofrecimientos.PREGUNTA POR AMANDO SEPULVEDACEL 33 Ver datos Estátus jurídico: Libre de gravamen.ADVERTENCIA: Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema.",105m²,124m²,Publicado hace 9 días,
"Excelente Casa, Céntrica Ubicación Colonia Blanco y Cuéllar",Damián Carmona 677,"MN 3,400,000","Amplia casa en excelentes condiciones, ubicación céntrica y bien comunicada. Barrio tranquilo, calles amplias, con buen mantenimiento. Extras: portón eléctrico, calentador solar, 2 cocinas, cuarto frio. Patio trasero amplio.",380m²,403m²,Publicado hace 110 días,53015340
"Jardines de Guadalupe, a 5 Minutos de La Glorieta Chapalita",Guadalupe,"MN 13,500,000","Tres recamaras,con vestidor y baño , principal con jaquzi , cochera 4 autos , jardín 80 metros , muy bien ubicada 500 metros contruidos",500m²,500m²,Publicado hace 16 días,56308990
Casa - Providencia,RIO DE Janeiro,"MN 13,500,000","Excelente proyecto arquitectónico, cómoda distribución en dos niveles y mucha luz natural. Acabados de primera: mármol, madera de parota, granito en cocina, etc. Cuenta con 4 recámaras, todas con amplios vestidores y baños, más medio baño para visitas, Family Room /Sala de TV. Clóset de blancos. Estudio. Cocina integral con barra de granito, terraza en área social, área de lavado con patio de servicio, cuarto de servicio con baño. Jardín de 65m2 , cochera cerrada para 4 autos. Calle tranquila, a pie de Punto São Paulo, Av. Américas, camellón de Pablo Neruda, cercana a importantes colegios, bancos, variedad de gastronomía, importantes centros de Negocios y oficinas y servicios en general.Única en su tipo!! Excelente opción e inversión!!",485m²,373m²,Publicado hace 4 días,
Casa en Venta en Bosques de La Victoria,QUEBRADA,"MN 9,800,000","CASA CON EXCELENTE UBICACION, CUENTA CON 4 CAJONES DE ESTACIONAMIENTO, ALBERCA, TERRAZA TECHADA, JARDIN CON ENTRADA LATERAL, RECIBIDOR, SALA, COMEDOR, COCINA, MEDIO BAÑO, SOTANO PARA ALMACENAR, TRES RECAMARAS CON BAÑO COMPLETO, SALA DE TV Y SAUNA. UNA GRAN OPORTUNIDAD PARA INVERTIR EN TU PATRIMONIO.",503m²,476m²,Publicado hace 124 días,
Jardines del Bosque,,"MN 9,980,000",DOBLE ALTURA AGRADABLE. USO HABITACIONAL Y COMERCIAL,593m²,477m²,Publicado hace 16 días,
Se Vende Casa en La Zona del Vestir,noria,"MN 1,300,000","Se vende casa amplia y cerca de la Zona del vestir, en el Centro de Guadalajara, Jal. funcional como casa habitacional o bodega para su negocio, con potencial para una segunda planta. La casa cuenta con tres recamaras y un baño, cochera para 2 autos!!",145m²,165m²,Publicado hace 84 días,
Remodelada a Cuadras de Centro Medico,MANUEL DOBLADO 160,"MN 1,250,000",Casa recién remodelada. Colonia la perla. 5M FRENTE 15M. FONDO A sólo 3 minutos del centro médico. Y san Juan de Dios. Avenidas como. Javier mina. Belisario Domínguez. Revolución. 3 habitaciones (con closet) Una en planta baja. Sala y comedor muy amplios. Cocina integral. Área de lavado. Baño completo. Medio baño abajo. Estacionamiento un auto CITAS 3 3 1 6 9 4 8 0 07,100m²,75m²,Publicado hace 13 días,
"Casa en Venta en La Monumental, Guadalajara",belisario Dominguez,"MN 3,277,000","Casa muy amplia y recién remodelada, en excelentes condiciones. Cochera para 3 autos, 2 baños y medio, 4 recamaras,cuarto de servicio , sala , comedor, terraza, jacuzzi, patio y un local comercial separado de la casa. Colonia Belisario Dominguez a un costado de la colonia monumental. Contáctanos a los teléfonos :Ver datos ó al Ver datos , o mándanos un mensaje de whatsapp al: Ver datos /Ver datos con gusto te atenderemos.",254m²,227m²,Publicado hace 109 días,
"""Venta de Casa""",Av Valle De San Victor Unidad Privat Fracc San Jose Del V Tlajomulco De Zu Iga Jalisco,"MN 1,250,000","Ubicación:Av Valle De San Victo Unidad Privat Fracc San Jose Del V Tlajomulco De Zu Iga Jalisco Ver datos Cuenta con todos los servicios. Para más detalles contáctenos en horario de oficina de 9am a 4 pm a los siguientes teléfonos: clave lada: 01 55 Ver datos, Ver datos, Ver datos, Ver datos",1,90m²,Publicado hace 21 días,
Casa a La Venta en Colomos Providencia.,2148 Antofagasta,"MN 8,186,000","Propiedad bien ubicada cercana a escuelas, templo, zonas comerciales y avenidas de importancia, zona de alta plusvalía.Planta baja: recibidor, estudio con baño completo, 1/2 baño, sala, comedor, bar, cocina, terraza con asador, jardín, bodega y dos cajones de estacionamiento.Planta alta: distribuidor, sala de tv con aire acondicionado, primer recamara secundaria con baño completo y closet.  Segunda recamara secundaria con baño completo y closet - vestidor. Recamara principal con baño completo, tina, closet, vestidor y balcón.  Patio y lavandería.",344m²,426m²,Publicado hace 83 días,
"Atractiva Casa por Su Ubicacion Jardines de La Paz, Gdl.",Col. Jardines de la Paz,"MN 1,890,000","ATRACTIVA CASA POR SU UBICACION EN COL. JARDINES DE LA PAZ, GDL. La propiedad requiere de actualización o re-acondicionamiento en general, pero lo mejor mas importante de ella es excelente ubicación a tan solo media cuadra del hospital 14 IMSS y de la nueva Estación de la linea 3 del tren ligero RIÓ NILO. Planta Baja: Cochera para un auto, área amplia para sala y comedor, cocina, 3 recamaras con closet, 2 baños completos, 2 patios pequeños de iluminación. Planta alta un cuarto de lavado opción a crecimiento. Frente: 7 m2 Fondo: 18 m2 Terreno. 126 m2 Construcción: 116 M2 Tramitamos y aceptamos todo tipo de créditos excepto IMSS!",116m²,126m²,Publicado hace 5 días,
"Casa Volcan San Francisco Huentitan El Bajo Guadalajara Jal, Remate Bancario",VOLCAN SAN FRANCISCO,"MN 910,062","Casa Ubicada en excelentes vías de comunicación, escuelas, centros comerciales, bancos y lo mejor que lo que lo puedes adquirir muy por debajo de su valor comercial actual. NO esperes 25 años para que sea tuyo, toma la decisión No se aceptan créditos DE NINGÚN TIPO es operación de CONTADO PRIMER PAGO DE: $ 280,000.00 a la firma de contrato SEGUNDO PAGO DE: $630,062.46 a la firma de cesión de derechos ante Notario Público Contáctame y agendamos cita en nuestras oficinas para más información, además contamos con más de 2000 propiedades en Remate Bancario. Raymundo Ramz. APE INMOBILIARIA Cel Ver datos",70m²,60m²,Publicado hace 21 días,
Venta de Bonita Casa! Guadalajara Jalisco,"Artículo 123, El Rosario, Guadalajara Jalisco","MN 1,100,000","¡Linda casa para estrenar en Artículo 123, El Rosario, Guadalajara Jalisco en excelente estado! La propiedad tiene 160 metros de construcción, casa con más de 15 años de antigüedad. La casa cuenta con 2 niveles. En planta baja cuenta con cocina, sala, comedor, en el 2do piso cuenta con 3 recamaras, 2 baños y área de lavado. Seguridad rigurosa ¡Excelente casa y recomendación si desea vivir en un lugar tranquilo y agradable! La casa se encuentra en muy buenas condiciones. PARA MAYORES INFORMES, CONTACTAR A LOS SIGUIENTES TELÉFONOS Ver datos ó Ver datos Ver datos ó Ver datos",160m²,200m²,Publicado hace 54 días,
Casa Jardines del Country,JARINES DEL COUNTRY,"MN 4,295,000",GENERALES Edad Recién Remodelada Terreno 170 m2. Construcción 240 m2. Nivel 3 Estacionamientos 2 CARACTERÍSTICAS Planta Baja * Sala y Comedor * Cocina Integral * Jardín * 1/2 Baño * Bodega Externa 2do Piso * 3 Recámaras - Principal con Vestidor y Baño - Secundarias con Closets comparten Baño 3er Piso * Cuarto de Servicio con Baño * Cuarto de Lavado ACABADOS E INSTALACIONES * Recámara Sec. Cuenta con Terraza y otra con Balcón * Recibidor en PB * Iluminación LED * Barra de Granito en Cocina * Bodega en Comedor * Portones Eléctricos * Escaleras con Piso Laminado tipo Madera * Piso de Porcelanato de .60 x .60 * Puertas en Banak * Guias Electrificad,240m²,170m²,Publicado hace 42 días,
Casa Remodelada Ramon Blancarte,RAMON BLANCARTE 547,"MN 2,250,000","EXCELENTE OPORTUNIDAD. Hermosa casa nueva en venta con una ubicación envidiable a solo 2 minutos de Centro Medico y muy cerca de preparatorias No. 2 y 3, de escuelas primarias y secundarias centros de salud y plazas comerciales. Avenidas principales como Pablo Valdes, Javier Mina, Av. Republica, Belisario Dominguez. La propiedad cuenta con. *3 Habitaciones con closet en planta baja ( principar con baño completo). * 2 Baños completos * Sala y comedor muy amplios. *Cocina integral equipada * Area de lavado. *un patio trasero. *Cochera para un auto. POTENCIAL E IDEAL PARA CONSTRUIR UNA SEGUNDO NIVEL O UN ROOFGARDEN. AMENIDADES CON LAS QUE CUENTA: *TRAGALUZ. *EXCELENTE ILUMINACION NATURAL. *TERMINADOS DE LUJO EN COCINA Y COSETS. * VIDRIOS DE 6MM TEMPLADOS. *INSTALACIONES ELÉCTRICAS E HIDRÁULICAS NUEVAS, INSTALACIONES HDMI OCULTAS. *CONEXIONES Y Y CONTACTOS NUEVOS Y CON ENTRADA USB. *CALENTADOR SOLAR. *TINACO DE 1100 LITROS *PROTECCIONES NUEVAS.",130m²,100m²,Publicado hace 27 días,56246781
Excelente Casa en Venta en Quinta Velarde,,"MN 2,950,000","EXCELENTE CASA EN VENTA EN QUITA VELARDE. Terreno: 152 m2 Construcción: 215 m2 La casa cuenta con 2 plantas: Planta baja: Sala, comedor, cocina integral, 1 medio baño, patio trasero, una recamara, área de lavado techada, cochera para 2 autos, estudio. Planta alta: Recamara principal con vestidor, baño completo con tina y minisplit, recamara con vestidor, recamara con closet, baño completo y estar de tv. La casa se encuentra remodelada y cuenta con: Terminados de yeso en toda la casa, vidrios insolados, carpintería caoba, vitropiso, todas las habitaciones con ventiladores, etc. $ 2,950,000.00 Para mas información visita nuestra pagina de Facebook: @Boqz asesores inmobiliarios",215m²,152m²,Publicado hace 7 días,
"Excelente Propiedad, en un Solo Nivel Residencial Juan Manuel Guadalajara",herrera y cairo,"MN 7,300,000","Excelente propiedad, en un solo nivel, en una de las zonas más cotizadas de Guadalajara. Cochera 2 autos, portón eléctrico, sala, comedor, cocina integral, jardín, terraza al fondo, cuarto de servicio, 3 recamaras, 2.5 baños.",240m²,302m²,Publicado hace 25 días,
Casa en Venta Colonia San Carlos,LAS CONCHAS,"MN 3,650,000","EXCELENTE CASA, COCHERA 2 AUTOS, COCINA SEMI INTEGRAL, BAÑO DE VISITAS, PATIO, 4 RECAMARAS, BAÑO COMPLETO, BODEGA POSTERIOR, TUBEROSA Y VIOLETA.",430m²,330m²,Publicado hace 9 días,
"Casa Centrica Guadalajara, San Vicente",san celso,"MN 1,490,000","Casa ubicada en colonia la perdida, a 2 cuadras de belisario dominguez, casi esquina mesa del norte. Excelente ubicación 4 recámaras 2 baños completos Cocina de material Opción a crecimiento Recién remodelada.",100m²,125m²,Publicado hace 34 días,
Residencia Remodelada en Colomos Providencia,"Paraná 3061, Guadalajara","MN 7,490,000","Excelente residencia remodelada completamente en la zona de Colomos Providencia, cuenta con 3 recámaras, 3 baños completos, la principal con vestidor amplio, estar de TV, medio baño para visitas, sala - comedor, cocina integral cubierta de granito, terraza posterior y family room, área de lavado y cuarto de servicio, cochera para 2 autos, espacios bastante amplios e iluminados. ¡TRAMITAMOS TU CRÉDITO HIPOTECARIO SIN COSTO!",320m²,250m²,Publicado hace 116 días,55181689
"Casa en Venta Forum Tlaquepaque, Cucei, Terreno 330 m²",FRAY LUIS DE LEON 815,"MN 2,900,000","CASA EN EXCELENTE UBICACIÓN CERCA DEL CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS (CUCEI) EN LA COLONIA CUIDAD UNIVERSITARIA, A DOS CUADRAS DE CALZADA OLÍMPICA, AV. RIO NILO, BLVD MARCELINO GARCIA BARRAGAN, AV. GONZALEZ GALLO, FORUM TLAQUEPAQUE, FRENTE: 5.70 M FONDO: 41 M POSTERIOR: 12.30 M 329 DE TERRENO 348 DE CONSTRUCCIÓN DISTRIBUCIÓN: SALA, COMEDOR, COCINA INTEGRAL, 2 BAÑOS COMPLETOS, 8 RECAMARAS MUY AMPLIAS, 1 CUARTO DE SERVICIO, 3 PATIOS, COCHERA PARA 1 AUTO. LIBRE DE GRAVAMEN Y LISTA PARA ESCRITURAR, (CUS 2.4, ICUS 1.6 = 5 NIVELES) CITAS AL Ver datos ANTERIORMENTE RENTADA A ESTUDIANTES.",348m²,329m²,Publicado hace 32 días,
Casa en Venta en Providencia,providencia 3ra seccion,"MN 5,950,000","Excelente casa en venta en providencia A DOS CUADRAS DE PUNTO SAO PAULO TERRENO: 250 M2 CONSTRUCCIÓN: 288 M2 RECAMARAS: 3 Sala, comedor, cocina integral Jardín con terraza Cuarto de servicio Medio baño para visitas Baño completo con vestidor en recamara principal Dos recamaras comparten baño completo Área de tv Cochera 2 autos",288m²,250m²,Publicado hace 28 días,
Bonita Casa Ubicada a Una Cuadra del Pargo de Av Revolución,Africa,"MN 2,000,000","Ubicadisima casa a solo una cuadra del Pargo de Av. Revolución, dos plantas, 4 recamaras, 3 1/2 Baños, cocina integral, cuenta con 133mts2 de terreno, 7mts de frente por 19mts de fondo, 230mts2 de construcción, patio, cochera 3 autos. OPORTUNIDAD!!!",230m²,133m²,Publicado hace 34 días,56208164
"Oferta! La Oportunidad Que Esperabas, Contáctanos.",OVIEDO #,"MN 1,250,000","VEN POR LA CASA QUE ESTÁS BUSCANDO EN EXCELENTE ZONA, CON EL MEJOR PRECIO QUE NO TE ARREPENTIRAS DE LA COMPRA!!!!!!!!!!",195m²,75m²,Publicado hace 28 días,
Francisco Huizar Col Insurgentes Zona Tetlan,,"MN 2,160,000",Una Zona Clasica en la ciudad para un disfrute de una casa que es para ti.HABITACIONES 3BAÑOS 2COCHERA 1 AUTOFRANCISCO HUIZAR 328 COL. INSURGENTES ZONA TETLAN GUADALAJARA.*aceptamos o te conseguimos tu credito,160m²,198m²,Publicado hace 32 días,
Casa de Remate Bancario en Guadalajara,BRUNO MORENO,"MN 2,022,451","¡CASA DE RECUPERACIÓN BANCARIA, EXCELENTE OPORTUNIDAD PARA INVERTIR EN SU FUTURO, CON GRANDES CONDICIONES DE VENTA, EXCELENTE UBICACIÓN Y GRANDES BENEFICIOS! CESIÒN INMEDIATA Y LO MEJOR ES EL PRECIO QUE SE DIVIDE EN DOS EXHIBICIONES: $ 2.022.451,52 EL PRIMER PAGO ES DE: $ 460.000,00 Y SE PAGA EL DÍA DE LA FIRMA DE CONTRATO EL SEGUNDO ES DE: $ 1.562.451,52 Y SE PAGA AL FIRMAR CON EL NOTARIO -NO SE ACEPTA NINGÚN TIPO DE CRÉDITO-",233m²,167m²,Publicado hace 3 días,
"Casa en Venta Providencia 7,500,000 a 1 Cuadra de Montevideo y Americas",Paraná 3061,"MN 7,500,000","Casa en Venta en Providencia 7,500,000 totalmente remodelada. 3 recamaras, 3 baños completos, 2 medios baños. Principal con vestidor. Terraza, cuarto de servicio, cocina integral, sala, comedor, oficina el planta baja",300m²,250m²,Publicado hace 56 días,55183033
